Stop_ID,Department,Assignment,Lat,Lon,Discretion,Race,DateTime
4086,Aspen PD,General,42.7937,-84.5429,High,White,10/24/2023 19:42
3914,Aspen PD,General,42.5834,-84.622,Low,Hispanic,10/11/2023 17:12
3869,Aspen PD,General,42.6008,-84.2914,High,White,10/3/2023 20:31
3623,Aspen PD,General,42.7411,-84.6286,High,Hispanic,9/13/2023 0:55
3664,Aspen PD,General,42.4798,-84.4428,High,White,9/16/2023 23:36
5054,Aspen PD,General,42.4948,-84.6576,Low,White,12/30/2023 22:44
490,Aspen PD,Crime Reduction,42.7557,-84.8497,High,White,7/19/2023 7:18
5341,Aspen PD,Special Focus,42.739,-84.7013,Low,White,10/10/2023 13:48
2504,Aspen PD,General,42.8008,-84.7423,High,White,6/20/2023 12:16
4341,Aspen PD,General,42.6996,-84.5043,High,Hispanic,11/14/2023 13:59
4247,Aspen PD,General,42.5969,-84.4681,High,White,11/9/2023 19:52
3879,Aspen PD,General,42.4933,-84.6592,High,White,10/5/2023 16:52
4679,Aspen PD,General,42.6214,-84.7374,High,Black,11/28/2023 20:11
2825,Aspen PD,General,42.7383,-84.5469,High,Black,7/11/2023 23:51
1357,Aspen PD,General,42.5777,-84.6214,Low,White,3/1/2023 19:41
3531,Aspen PD,General,42.7938,-84.3682,Low,White,9/4/2023 0:19
4963,Aspen PD,General,42.7982,-84.7208,Low,Black,12/20/2023 19:50
3795,Aspen PD,General,42.7252,-84.6027,High,White,9/29/2023 21:35
4670,Aspen PD,General,42.817,-84.524,Low,White,11/25/2023 19:02
1777,Aspen PD,General,42.683,-84.5327,High,White,4/13/2023 19:44
4970,Aspen PD,General,42.7607,-84.5425,Low,White,12/19/2023 22:28
1756,Aspen PD,General,42.6002,-84.7781,Low,White,4/12/2023 9:03
4408,Aspen PD,General,42.6664,-84.2285,High,Black,11/21/2023 13:23
2754,Aspen PD,General,42.7565,-84.5445,High,White,7/4/2023 18:31
2959,Aspen PD,General,42.746,-84.4085,High,White,7/28/2023 23:38
187,Aspen PD,Crime Reduction,42.6687,-84.5722,High,White,3/23/2023 21:56
4813,Aspen PD,General,42.6495,-84.696,High,White,12/7/2023 19:33
168,Aspen PD,Crime Reduction,42.7171,-84.5612,High,Black,3/7/2023 20:51
4786,Aspen PD,General,42.6778,-84.4166,High,Unknown,12/5/2023 8:58
1606,Aspen PD,General,42.795,-84.5234,High,White,3/28/2023 22:46
485,Aspen PD,Crime Reduction,42.7285,-84.4574,High,White,7/17/2023 15:08
67,Aspen PD,Crime Reduction,42.6691,-84.5377,High,Black,2/3/2023 17:25
5260,Aspen PD,Special Focus,42.6827,-84.5494,High,Black,6/19/2023 12:44
3640,Aspen PD,General,43.001,-84.5622,High,White,9/15/2023 0:29
5635,Aspen PD,Training,42.6733,-84.4995,High,Black,4/2/2023 23:29
799,Aspen PD,Crime Reduction,42.5476,-84.1919,High,White,12/3/2023 8:43
5623,Aspen PD,Training,42.5675,-84.4287,High,White,4/1/2023 18:30
5081,Aspen PD,General,42.5635,-84.8376,High,White,1/1/2023 0:04
5824,Aspen PD,Training,42.6011,-84.3162,High,White,6/3/2023 11:36
379,Aspen PD,Crime Reduction,42.6783,-84.4381,High,White,6/30/2023 17:34
5692,Aspen PD,Training,42.7983,-84.7392,High,White,4/15/2023 3:54
2189,Aspen PD,General,42.7982,-84.7213,High,Black,5/23/2023 18:41
1050,Aspen PD,General,42.6669,-84.5419,High,White,1/22/2023 1:01
731,Aspen PD,Crime Reduction,42.6905,-84.563,High,Black,10/15/2023 17:29
4945,Aspen PD,General,42.6072,-84.8369,High,White,12/18/2023 19:57
2798,Aspen PD,General,42.6691,-84.5096,Low,Black,7/8/2023 13:40
2049,Aspen PD,General,42.7747,-84.6192,High,Black,5/12/2023 1:23
2732,Aspen PD,General,42.6773,-84.4795,Low,White,7/2/2023 18:03
1021,Aspen PD,General,42.5663,-84.448,High,Black,1/23/2023 10:47
3628,Aspen PD,General,42.7809,-84.4011,High,Black,9/10/2023 22:30
3270,Aspen PD,General,42.6789,-84.4382,High,White,8/24/2023 0:51
3521,Aspen PD,General,42.6213,-84.6229,High,White,9/3/2023 7:53
3066,Aspen PD,General,42.6771,-84.4022,Low,Black,8/6/2023 3:16
1659,Aspen PD,General,43.0045,-84.4453,Low,White,4/2/2023 3:39
3758,Aspen PD,General,42.5273,-84.7058,High,White,9/24/2023 7:28
174,Aspen PD,Crime Reduction,42.6835,-84.5813,High,Black,3/9/2023 18:13
46,Aspen PD,Crime Reduction,42.573,-84.4512,High,White,1/31/2023 11:19
5146,Aspen PD,Other,42.6819,-84.5685,High,White,11/1/2023 22:40
3818,Aspen PD,General,42.6255798,-84.8730684,Low,White,9/28/2023 20:46
4207,Aspen PD,General,42.6974,-84.7391,High,White,11/6/2023 22:26
4052,Aspen PD,General,42.7985,-84.7242,High,White,10/23/2023 11:29
488,Aspen PD,Crime Reduction,42.7409,-84.6057,High,Hispanic,7/18/2023 17:46
222,Aspen PD,Crime Reduction,42.679,-84.5919,High,Black,4/18/2023 22:41
2694,Aspen PD,General,42.6499,-84.6952,High,White,7/1/2023 18:42
2375,Aspen PD,General,42.8094,-84.7741,High,Black,6/7/2023 23:16
5528,Aspen PD,Training,42.66892522,-84.54353407,High,White,3/7/2023 0:44
1422,Aspen PD,General,42.672,-84.3681,Low,White,3/8/2023 11:00
